Key	Value
ENST00000342066.8	2133
ENST00000327044.7	2263
ENST00000338591.8	2036
ENST00000379410.8	1883
ENST00000433179.4	2543
ENST00000304952.11	787
ENST00000649529.1	572
ENST00000379370.7	6188
ENST00000453464.3	1047
ENST00000379319.5	901
ENST00000379290.6	2215
ENST00000328596.10	765
ENST00000379236.4	857
ENST00000379198.5	1029
ENST00000330388.2	938
ENST00000349431.11	966
ENST00000379116.10	2632
ENST00000354700.10	2617
ENST00000379031.10	956
ENST00000435064.6	1852
ENST00000343938.9	1018
ENST00000339381.6	2622
ENST00000378888.10	2438
ENST00000309212.11	1377
ENST00000378853.3	808
ENST00000400809.8	1589
ENST00000344843.12	523
ENST00000454272.2	1283
ENST00000378821.4	746
ENST00000476993.2	1394
ENST00000378785.7	2228
ENST00000673477.1	2064
ENST00000378756.8	1865
ENST00000425828.1	562
ENST00000291386.4	888
ENST00000422725.4	798
ENST00000378712.5	2584
ENST00000356026.10	1216
ENST00000341832.11	2450
ENST00000611123.1	1642
ENST00000404249.8	2453
ENST00000341991.7	1423
ENST00000703694.1	1117
ENST00000307786.8	564
ENST00000310991.8	641
ENST00000378585.7	1435
ENST00000378567.8	1996
ENST00000378546.9	563
ENST00000378536.5	2632
ENST00000378531.8	1512
ENST00000605895.6	713
ENST00000288774.8	1100
ENST00000378486.8	4548
ENST00000378453.4	597
ENST00000355716.5	1143
ENST00000378412.8	2525
ENST00000378404.4	1351
ENST00000270722.10	3885
ENST00000378378.9	2293
ENST00000356575.9	4863
ENST00000378344.7	874
ENST00000270708.12	1484
ENST00000378295.9	2067
ENST00000294600.7	2000
ENST00000642557.4	468
ENST00000378251.3	1771
ENST00000674558.1	2986
ENST00000378209.8	1142
ENST00000361605.4	815
ENST00000378191.5	2050
ENST00000378156.9	4498
ENST00000378097.6	1680
ENST00000262450.8	6160
ENST00000234875.9	406
ENST00000377939.5	2086
ENST00000343813.10	905
ENST00000377898.4	636
ENST00000377893.3	2210
ENST00000377855.6	1287
ENST00000377834.8	618
ENST00000645284.1	2742
ENST00000377782.7	1346
ENST00000535355.6	3251
ENST00000377705.6	2117
ENST00000333172.11	2590
ENST00000377674.9	2276
ENST00000377658.8	1843
ENST00000377648.5	1236
ENST00000054650.9	873
ENST00000377577.10	1693
ENST00000303635.12	5096
ENST00000054666.11	388
ENST00000377532.8	3940
ENST00000361696.10	434
ENST00000377507.8	905
ENST00000493678.5	634
ENST00000377482.10	1611
ENST00000337907.7	5333
ENST00000234590.10	1418
ENST00000377443.7	943
ENST00000400906.2	1614
ENST00000377424.9	1602
ENST00000377411.5	1080
ENST00000377403.7	2676
ENST00000328089.11	1146
ENST00000302692.7	1190
ENST00000340381.11	2018
ENST00000698712.1	3198
ENST00000377298.9	3175
ENST00000400904.7	594
ENST00000377213.1	796
ENST00000377205.6	934
ENST00000294435.8	433
ENST00000253251.12	4358
ENST00000263934.10	5463
ENST00000270776.13	1503
ENST00000602787.6	497
ENST00000309048.8	499
ENST00000377049.4	508
