Key	Value
ENST00000342066.8	90
ENST00000327044.7	16
ENST00000338591.8	110
ENST00000379410.8	50
ENST00000433179.4	173
ENST00000304952.11	124
ENST00000649529.1	77
ENST00000379370.7	53
ENST00000453464.3	300
ENST00000379319.5	307
ENST00000379290.6	196
ENST00000328596.10	0
ENST00000379236.4	26
ENST00000379198.5	42
ENST00000330388.2	32
ENST00000349431.11	189
ENST00000379116.10	226
ENST00000354700.10	115
ENST00000379031.10	47
ENST00000435064.6	52
ENST00000343938.9	376
ENST00000339381.6	66
ENST00000378888.10	353
ENST00000309212.11	51
ENST00000378853.3	211
ENST00000400809.8	29
ENST00000344843.12	76
ENST00000454272.2	86
ENST00000378821.4	257
ENST00000476993.2	59
ENST00000378785.7	995
ENST00000673477.1	120
ENST00000378756.8	107
ENST00000425828.1	43
ENST00000291386.4	306
ENST00000422725.4	120
ENST00000378712.5	325
ENST00000356026.10	46
ENST00000341832.11	104
ENST00000611123.1	427
ENST00000404249.8	113
ENST00000341991.7	85
ENST00000703694.1	97
ENST00000307786.8	21
ENST00000310991.8	14
ENST00000378585.7	79
ENST00000378567.8	220
ENST00000378546.9	23
ENST00000378536.5	448
ENST00000378531.8	21
ENST00000605895.6	125
ENST00000288774.8	62
ENST00000378486.8	300
ENST00000378453.4	99
ENST00000355716.5	294
ENST00000378412.8	188
ENST00000378404.4	220
ENST00000270722.10	57
ENST00000378378.9	166
ENST00000356575.9	240
ENST00000378344.7	58
ENST00000270708.12	104
ENST00000378295.9	159
ENST00000294600.7	32
ENST00000642557.4	234
ENST00000378251.3	22
ENST00000674558.1	211
ENST00000378209.8	128
ENST00000361605.4	86
ENST00000378191.5	817
ENST00000378156.9	220
ENST00000378097.6	579
ENST00000262450.8	298
ENST00000234875.9	22
ENST00000377939.5	184
ENST00000343813.10	53
ENST00000377898.4	78
ENST00000377893.3	383
ENST00000377855.6	147
ENST00000377834.8	99
ENST00000645284.1	180
ENST00000377782.7	68
ENST00000535355.6	26
ENST00000377705.6	11
ENST00000333172.11	67
ENST00000377674.9	212
ENST00000377658.8	52
ENST00000377648.5	336
ENST00000054650.9	156
ENST00000377577.10	16
ENST00000303635.12	77
ENST00000054666.11	88
ENST00000377532.8	310
ENST00000361696.10	62
ENST00000377507.8	140
ENST00000493678.5	67
ENST00000377482.10	225
ENST00000337907.7	635
ENST00000234590.10	116
ENST00000377443.7	19
ENST00000400906.2	78
ENST00000377424.9	99
ENST00000377411.5	75
ENST00000377403.7	303
ENST00000328089.11	327
ENST00000302692.7	227
ENST00000340381.11	20
ENST00000698712.1	66
ENST00000377298.9	232
ENST00000400904.7	351
ENST00000377213.1	226
ENST00000377205.6	97
ENST00000294435.8	31
ENST00000253251.12	839
ENST00000263934.10	153
ENST00000270776.13	54
ENST00000602787.6	83
ENST00000309048.8	85
ENST00000377049.4	193
ENST00000377038.8	71
ENST00000356607.9	17
ENST00000377022.8	316
ENST00000377004.9	39
ENST00000240185.8	102
ENST00000400897.8	32
ENST00000376957.7	75
ENST00000376936.9	38
ENST00000361445.9	121
ENST00000376819.4	225
ENST00000376810.6	334
ENST00000294484.7	221
ENST00000354287.5	89
ENST00000376770.5	498
ENST00000235310.7	929
ENST00000376753.9	59
ENST00000294485.6	154
ENST00000314340.10	73
ENST00000376583.7	0
ENST00000346436.11	72
ENST00000376480.7	99
ENST00000376468.4	112
ENST00000376572.8	190
ENST00000196061.5	63
ENST00000676293.1	312
ENST00000235332.6	137
ENST00000263932.7	296
ENST00000376259.7	101
ENST00000620676.6	167
ENST00000616661.5	862
ENST00000376221.2	462
ENST00000359318.8	67
ENST00000614859.5	231
ENST00000357726.5	1130
ENST00000332296.7	103
ENST00000619922.1	71
ENST00000317869.7	221
ENST00000240189.2	87
ENST00000235349.6	71
ENST00000330881.6	68
ENST00000376189.5	86
ENST00000436041.6	178
ENST00000617807.3	343
ENST00000619661.3	150
ENST00000621994.3	243
ENST00000624207.2	142
ENST00000323770.8	164
ENST00000415919.3	701
ENST00000625019.3	103
ENST00000624297.3	48
ENST00000622421.3	100
ENST00000621519.5	78
ENST00000376152.2	94
ENST00000334600.7	103
ENST00000376098.4	26
ENST00000602960.2	99
ENST00000376085.4	410
ENST00000294489.10	341
ENST00000235372.11	856
ENST00000376030.7	313
ENST00000376008.3	474
ENST00000375980.9	84
